Day,Hour_00,Hour_01,Hour_02,Hour_03,Hour_04,Hour_05,Hour_06,Hour_07,Hour_08,Hour_09,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Hour_18,Hour_19,Hour_20,Hour_21,Hour_22,Hour_23
0,53.295399233639394,42.570817849237436,26.761216839434862,20.256334441262034,27.051507824751567,33.618706573964815,47.663176317581296,60.10134790582683,45.56034278906704,44.20078708593058,47.7737041599303,61.08449218087575,66.78757204552603,64.41116282352554,65.72489172345482,75.15209561627543,70.27861301272476,97.29760027834283,106.7152663614035,114.56305619767818,131.23647970853062,106.74872028703372,84.59948679431905,54.96024264450403
1,65.83359359441116,45.483726977640714,26.38557732174116,16.267804995118983,30.26303587002449,35.56418847012653,48.28301079254034,72.60450368896836,53.947702590554876,48.44088550319485,60.11529670466099,71.24896467104487,80.60644783939463,73.51447265304878,79.80406336005053,85.90511395696203,85.98929204176859,122.60434863324319,130.83890420851085,140.63386367097422,158.10122847982564,126.15353792199281,102.58744814944068,68.25163193648628
2,67.08428170537705,46.72600863685445,28.376860274948257,18.316030670177792,28.74833635539144,43.386890146816114,72.7453302652799,92.97437360246577,62.70683649597838,63.82659478678339,68.83946539519856,73.69207598859556,83.58547233722601,70.07595462694759,81.46846689997476,98.72166430067305,91.44317337972946,135.12016428835244,143.2790661652684,151.30812327907637,168.96004118655176,136.5835540271963,106.09536487230444,67.72832906849177
3,76.82313909951563,50.77046204793819,34.73927855381292,31.142848950276118,42.813770474296106,45.710506106348674,61.848304859836915,94.59981077045684,69.2895980392332,64.15054706971206,77.99322586541649,82.53494881575644,91.93483480573981,80.23241204757487,87.46584100987315,106.19672541868509,103.60840043910454,153.02983947272975,158.924841874587,169.43494531067083,182.46596795899146,144.512201415635,129.82246903997924,89.02735655119962
4,77.74898159582781,57.4990630875355,39.831887067564345,32.55172168306355,34.8561712466946,44.93589153908553,71.46155180423675,93.09575477486568,67.17227951626981,62.112640100302265,73.83423731013363,85.77171193191184,100.09534973970085,90.25711392305882,96.62111813824721,119.57903612097631,110.33181678897334,146.63093295544746,168.47392343599057,181.78944346721815,193.80281228278577,155.21220285316681,130.87035946339512,88.87700456025118
5,43.77253597903959,35.427554917089786,20.699953090712043,13.987109449195836,22.31120152074533,28.19625505783575,40.262658637409544,54.16391730336883,39.59349514359224,31.620330345440188,35.86593385532032,43.6218356966729,52.398790364634905,48.52581264203848,52.85328299630699,62.40144884699394,57.89406100926437,84.13260087867097,92.87260042656453,96.9247848240044,102.43243476812145,79.06937352375583,69.20015041944131,44.74184715717783
6,49.135561294935954,35.73121863613515,23.287137402333247,17.09738011206438,26.728418284603826,30.715250919721278,41.781352648445235,54.593069537042254,42.15405656097827,41.501827333066885,47.87780262139316,57.437817427432236,61.59118629430075,55.41649942338449,65.03905501511758,69.66398095461645,62.74223438383817,96.92371082485124,104.27437823929647,110.27580302951871,122.53529769660972,97.92754480855231,83.4613294651144,58.216680854451724
7,54.59608576100767,41.3596519955435,28.152408177958556,17.044054885046485,27.60462538745831,33.607342117196765,53.172519342789485,70.64843097610114,53.887097123795186,49.96939198623344,53.43380726725639,63.62931338789634,75.49901239382469,65.42158395342734,69.17487953424508,80.6573292101429,67.59649653334834,103.16617024338055,112.49878125879563,123.48449283885039,139.17165632825808,109.00132942041184,87.33338955530219,64.2393866269207
8,57.8050874084657,41.58973325305104,32.951049988534436,27.93514117272378,32.899837288872504,36.56787541624805,43.82663606132997,70.81234162662422,50.177382087709596,41.21447543149287,58.262642137058315,67.99883904028866,70.24939015461105,59.63747045751133,72.55835316601873,84.16303851304394,82.97965534060422,120.69846222268957,128.42933975868402,135.5089891760691,149.2060915262131,121.95153214162686,96.35178106232036,66.88993708164601
9,65.55412204313092,50.92381032583256,29.018212832342215,20.15291752015606,30.29885522252019,36.936506164324214,60.40144166439578,80.10307559523369,59.16908186225265,58.07436073932708,65.87877621184417,71.83406264231107,76.15102913952649,70.34970239260764,82.27297617232232,98.19794344643586,85.62290451116856,131.73210210288957,131.3108766948226,133.65745333209665,155.95592602741752,125.76428241324834,99.92495050620103,65.05718805583527
